id,comment
10161331125795620,Lịch sử đấu tranh của dân tộc Việt Nam luôn có những người dân sẵn sàng chấp nhận rủi ro hy sinh nhằm mưu cầu hạnh phúc ấm no nhân phẩm cho muôn người ::Con hư tại mẹ nhà không có nóc gia môn bất hạnh ::Không có tác dụng đâu Những kẻ hèn hạ chỉ rúc bên đó thì không thể động đến cả chế độ một nhà nước và gần 100 triệu người dân VN::Bọn này cho đi tiêm luôn chứ sống làm hại xã hội này Nhìn mặt có hậu đâu mà bao biện::Phương đã vào trại tâm thần::Chúc mừng họ đêêêê ::Cho vô tù hết là xứng đáng Cả nhà Trịnh Bá Phương phản động Thôi đừng bao biện nữa ::Phương ơi là Phương::CS đã làm tan nát gia đình nông dân lương thiện này Nếu còn chế độ cs thì vẫn còn tệ nann chính quyền cướp đất dân và bỏ tù những người vô tội
10161331057975620,Cho ta thấy sự khốn nạn của xã hội và sự bất lực của chính quyền không có 1 bộ luật điê u hành về vấn đề nói trên Nếu ai nói Nhà nước không thể lo tất cả là thiển cận và cần phải học hỏi thêm Khi nói đến cơn sốt thì là tên 1 chứng bịnh mà đã là bịnh thì tai hại sẽ nhiê u hoặc ít thôi Mong chỉ ít bà con chân thật bị thua lỗ ::Bán hết đất rồi lấy gì sống ::Rep Ib tân ơi 3::Cái trò sốt đất ảo là do chính quyền tạo ra cả Dân đen làm gì đủ mạnh mà tạo ra::đồng ý nè::Mỗi 1 nhiệm kỳ thì phải thu lại vốn và lời lãi chứ Vờn 1 thời gian đã thấy hòm hòm thì mới nhả::Xã hội này nó thế ::Ai mua đất giá rẻ ko tôi bán cho khoảng 2 triệu được 1 km trên sao hỏa co::Làm gì có đất mà sốt Lại GaTo rồi ::H ai mà đi lm bình thưởng mua dc miếng đất cũng nhọc á::Thưa ca c ba n ai co nhiê u tiê n đê mua đâ t Chi nh la ca n bô đa ng ta Hu t ma u nhân dân tham ô tham nhu ng ta i sa n đâ t nươ c be pha i kê t be kê t đa ng đê tru c lơ i ca nhân Đâ t nươ c bây giơ khô n na n lă m ::Kiểu Đinh La Thăng lúc trước kéo đàn em vào mua đất ở Cần Giờ rồi vẽ ra cây cầu Đất Cần Giờ tăng chóng mặt rồi tụi nó bán ::Thôi tân im mẹ mồm đi Ngon thì bay về đây mà đòi dân chủ này Rúc bên đó rồi ẳng về hèn vl ::Chủ đầu tư bán ra theo quy định của nhà nước nhưng bán cho cò_cò ở đây là con cháu mỗi cò làm 50 70 lô và rồi giá của cò nó lên tận mây xanh người dân không mua được trực tiếp từ nhà đầu tư theo giá quy định của nhà nước thế cho nên khi nào dẹp được đám cò vạc khi ấy mới có giá trị thật
10161329460175620,Đã yêu cầu đảng giữ lại các phần tử này
Dân không cần đến
10161329451990620,
10161330271845620,Chắc lại do lỗi đánh máy ấy mà Mấy anh công an VN biết kinh doanh lắm ::Bọn này láo nháo thật sống trên một đất nước chỉ có 1 lá quốc kỳ mà lại dám 2 xe treo 1 biển treo cờ đỏ thì phải bỏ cờ vàng OK::dân giang hồ nó gọi là trò mẹ bồng con Dùng dc cả cho xe oto lẫn xe máy Là hiện thân của sự sáng tạo do những người liền anh của đảng ta nghĩ ra nhằm rước dc xe cao cấp nước ngoài về VN với giá rẻ ::Cái gì cũng tại Cộng Sản ám ảnh nó vừa vừa thôi ::Mệ Thế mà bọn phản động cứ chửi đảng ta quái thái Bố láo Đảng ta chỉ cấp bảng số xe quái thai thôi ::Ko hiểu sao trang này nó ngu hết phần đại diện Việt tân ưu tú thật ::Con sinh đôi có thi xe sinh đôi là chuyền thường::Về đổi biển khác::Chính sách pháp luật đủ tốt để người dân tìm mọi cách để lách Lỗi tại ai ::Hào Hương ::1 ông tự làm biển giả thì ai mà quản lý đc::Tân điên à Thằng chủ xe làm giả chứ Ỉa ko ra cũng do xhcn vậy Tân::Chuyện chî co ở xứ ta kkkk::Xe mẹ bồng con::A MI ĐÀ PHẬT::Đâu phải xứ của Tân đâu mà xứ ta ::kiểu của bọn có tiền cs::Ơn đảng::AE sinh đôi đó mà kaka::Thì nếu tai nạn thì xì tiền trăm triệu vài trăm triệu la vấn đề được giải quyết rồi vấn đề không khó khó chỗ có tiền để xì ra trám ko thôi::tân ng u như b ò vậy đó h ko nghe giấy mẹ bồng con à bộ GT nào cấp loại này ::Bọn khỉ học lái xe được nhưng không hiểu bảng số xe để làm gì ::Thơ i nay xhcnvn ca i gi cu ng co bă ng gia tiê n si gia ba c si gia thư c phâ m gia ba n sô gia nô t Viê t nam hê t cư u rô i chi đâ p đô chê đô nâ y mơ i mong thoa t kho i ca i gia ta o cu a chxhcnvn ::Trình độ quản lý đất nước của CSVN đã đứng top thế giới về độ ăn tàn phá hoại mà
10161330231085620,Nói thật hồi xưa có ông Vũ Văn Dũng chiến đấu cho nhà Tây Sơn đến cuối cùng lại có ông Trần Quang Diệu thề không thờ hai vua nên bị vua Gia Long xử chết Nhà Tây Sơn bị cho là ngụy cho đến khi vua Tự Đức ban chiếu viết sách sử cho nhà Tây Sơn khôi phục lại danh dự cho vua Quang Trung Các ông Việt Cộng nếu có cái tâm thì nên nhìn đời xưa để biết đời nay chứ đừng làm kẻ vong bản quên mất lịch sử quốc gia này ::Đúng chỉ tại họ sinh nhầm thế kỷ đứng lạc đội hình thôi ::thật là ngu ngốc Lấy cái chết để thể hiện sự anh hùng cơ là người yêu nước à ::Toàn gương mặt chuẩn tướng Anh hùng không như những gương mặt cs rau muống cá rô cây khỉ Pắc Pó::Nếu mình là top người có liên quan mật thiết với chế độ VNCH mình sẽ làm một bài viết nghiêm túc tưởng nhớ hết tất cả các tướng lĩnh chiến sĩ đã tuẫn tiết cũng như đã hy sinh Làm thật cẩn thận để không bỏ sót một người nào Mỗi một sinh mạng đều đáng quý nhưng đáng quý và cao cả nhất là bởi thiện tâm bất khuất Cũng như Thầy Thích Minh Tánh có nói người có bốn loại lương thiện theo thứ tự cao cấp tăng dần yêu thương bản thân yêu thương gia đình yêu thương tổ quốc yêu thương nhân loại Họ đã hy sinh vì tấm lòng lương thiện vì tổ quốc và cũng vì nhân loại Họ hiểu rõ nếu cộng sản chiến thắng chúng sẽ có bàn đạp tiếp tục gieo cái ác không những trong nước mà còn liên đới đến toàn Thế Giới Họ đã hiểu họ đã yêu và vì thế họ dám hy sinh thân mình ::Tại sao có câu nói thà chết vinh còn hơn sống nhục Bởi vì sống nhục nhã cam chịu quá lâu tự mình sẽ bị biến chất Họ đã quá khinh bỉ sự tàn ác nên họ thà hy sinh ::Nhớ tới chú Ngạn vợ con mất ngoài biển năm 1978 bản thân chú cũng suýt chết mấy lần trong chiến tranh rồi đi cải tạo nhà văn Nguyễn Ngọc Ngạn xứng đáng là 1 nhân vật lịch sử của VN::Tự dưng đi xóa cm của người ta ah vịt tần chơi gì kì ghê thôi thì để cái ảnh này vào đây lại vậy ::Thua thì ta lên rừng lên rú lập chiến khi chiến tranh du kích quân đội gì mà thua chỉ nghĩ tới việc chạy tây nguyên thiếu gì rừng núi thua trận buôn ma thuật thì vào rừng mà lập chiến khu cầm chân chờ viện binh tái chiếm nguyên cái quân khu miền tây phú quốc còn mà không bảo nhau phòng thủ rút vào chiến tranh lâu dài mà lại bảo nhau tự sát ::Chế độ nào cũng là chế độ tôn trọng lịch sử VNCH không phải là chế độ xấu chỉ là mấy đứa bù nhìn làm lãnh đạo cõng rắn vào cắn gà nhà ::Tránh lọt hố Việt Cộng https youtu be Xwa_HEcRzFM::Sao thấy 61 cmt mà vào xem có lèo tèo vài cmt vậy ::Các ông cứ ca tụng thời việt nam cộng hòa là sung sướng sung sướng thật nhưng thời đó Mỹ rót tiền vào sau đó họ khai thác khoáng sản chứ có sản xuất mẹ gì đâu giờ các ông cứ muốn lật đổ chính quyền Thực ra đếch thể lật được vì chẳng ai trên thế giới này giúp các ông cùng lắm họ nói vài tiếng cho vui miệng như miễn điện có làm gì được đâu hongkong rồi đến đài loan sẽ về tay bọn trung quốc hết Mỹ họ chỉ đi khai thác khoáng sản làm giầu cho đất nước họ thôi irak hết dầu mỏ rồi nó cũng bỏ rơi đất nước loạn lạc ::Đi đâu đây vt ::được Mỹ trang bị tận chân răng Còn có các nước chư hầu tham chiến nữa Khi nào đứng top quân sự thế mà Mỹ rút quân viện trợ thì thua Vậy xin hỏi tài ở đâu ::Sau 30 4 1975 người dân miền Nam đang từ ăn cơm chuyển sang ăn cơm độn khoai sắn rồi phải ăn bo bo Cái này t nghe từ 1 người bạn từ trong Nam ra đây học cùng đại học kể lại hồi xưa của mẹ bạn ấy tao là bắc kì cấm bọn dlv và bò đỏ nhảy vào chụp mũ 3 sọc đu càng ::A hùng tử khí hùng bất tử Toàn tướng bại trận rồi nhục quá tự sát có gì đâu mà hay ho Làm tướng phải hi sinh trên trận mạc thì mới đáng tự hào đằng này thua rồi tự sát chỉ có nhục nhục và nhục thôi Kẻ thua cuộc thì luôn tìm lí do để nguỵ biện biểu hiện của sự yếu kém Hãy tự hỏi vì sao thua cuộc Nghe nói được xếp hạng quân nực hạng 4 thế giới cơ mà Sau khi mĩ kí hiệp định Giơnevo rút quân khỏi VN nhưng vẫn ngấm ngầm viện trợ vũ khí và tiền cho VNCH phía quân GP biết thừa mĩ vi phạm hiệp định nhưng cũng đếch thèm nói Vì sao biết không Vì phía Bắc Việt biết rất rõ VNCH chỉ là con hổ giấy Vũ khí nhiều và hiện đại vào tay VNCH cũng vô dụng Sự khác biệt trên trường không phải là vũ khí mà là yếu tố con người Sau này số vũ khí đạn dược đó Việt Nam DCCH tịch thu hết hoá ra mĩ viện trợ vũ khí cho Bắc Việt để đánh Pol Pot nhờ số vu khí đó mà đánh tan hơn 20 vạn quân pol pót trong vòng có chục ngày Hơn nhau ở cái đầu hiểu chưa Tân ::Tại sao có câu nói thà chết vinh còn hơn sống nhục Bởi vì sống nhục nhã cam chịu quá lâu tự mình sẽ bị biến chất Họ đã quá khinh bỉ sự tàn ác nên họ thà hy sinh ::Còn lại thì thế này ::Những người vĩ đại::Tân nói cộng sản sao cũng được nhưng mà bảo bán biển đảo thì buồn cười quá Có phải cộng sản mất Ba Bình vào Đài Loan Cộng sản mất Hoàng Sa Mất nốt mấy đảo lẻ tẻ Trường Sa và làm quà tặng mấy đảo cho Phi lip pin Cộng sản cũng làm mất vào đảo trong vịnh Thái Lan vào tay Cam bốt ư hài hước thật ::Chỉ dân miên năm thôi bạn::Ngày đen tối của ba sọc thôi nha tân::Vậy khác gì chửi mấy đứa còn lại là bọn nhát chết Tao k biết người khác nghĩ thế nào chứ nếu tao là Thiệu thì tao sẽ dislike cái bài viết ngu xuẩn này Thiệu nhỉ ::Kinh quá kinh quá::Cay cay cay cay cay::Mỹ và Liên xô Trung quốc cắt viện trợ cho bọn khủng bố::tháng4 của sự nói láo đến rồi tôi thiệu sẽ ở lại chiến đấu đến cùng ahi anh đi nha ::Làm tay sai của mỹ mà cũng tự hào chán mấy thanh niên::chạy khôg đc lăn đùng ra chết ::Đảng Cộng Sản Việt Nam Quang Vinh Muôn Năm ::ĐẢNG CỘNG SẢN VIỆT NAM QUANG VINH MUÔN NĂM CHỦ TỊCH HỒ CHÍ MINH MUÔN NĂM::Thông cảm cho các bạn tuy nhiên tôi đang bận lên lịch cho kỳ nghỉ 4 ngày ::Ê Thiếu Tướng Phạm Văn Phú xưa bạn chung của Ồn hai t bên họ ngoại nè
10161329436595620,
10161330093355620,Cam on NS Tuan Khanh ::VÂ N CO N ĐÂY NHƯ NG NGƯƠ I CON CU A ME VIÊ T NAM
10161330193775620,Anh này chắc lại đi chăn gà nuôi lợn hay làm xem ôm ấy mà Đúng là điển hình làm kt giỏi ở VN vậy mà ko đưa lên tivi cho bà con học hỏi kinh nghiệm làm giàu ::Cái đề tài này đang gây phẫn nộ và bức xúc cập nhật liên tục đi Tân sai đâu sửa sau tớ ủng hộ ::tổ sư cướp bảo kê cho các tướng tá cướp chứ ai vào đây ::Tướng Cướp ::Nha Tuong Di Nhien la khac roi Tuong con thieu mot chu nua CUOP ::Cộng sản độc toàn tướng Cướp không à::Lu cu ng bo tay La m gi đươ c na o ::Bò 3ke đâu rồi ::day dung la tuong cuop roi con gi cuop cua dan de lam cua rieng minh :: 4 tầng hầm nuôi bò đỏ::Em bò đỏ đây những chủ đề này xin phép hoãn ko chửi ko ý kiến gì ::Ông phúc nói rồi cái quên không làm hay sợ một thế lực nào đó lớn hơn ông::cần điều tra làm rõ những việc ô tướng này đã làm trước khi còn công tác ::Mấy ông bảo họ tham nhũng thì cứ nôn bằng chứng ra là được Ngồi đây nói xuông ko giải quyết vấn đề gì đâu::Dau phai 1 can::Trong hầm chứa tài liệu có khi có cả tình báo tàu đó động vào đâu dễ::vay chu mo mieng ra la no noi no la no boc cua dan::Tướng quân làm hầm trú ẩn là đúng rồi đúng với tinh thần nhà binh nếu có xảy ra chiến tranh với Tàu khựa thì có nơi mà tránh bom đạn ::Mỗi thằng khi về hưu làm vài hecta thì chỉ vài năm nữa là dân đen chui vào khu ổ chuột ::Kinh quá Tướng mà ::Ai A MI ĐÀ PHẬT ::Nhà cấp 4 mà::Đừng trách ổng tội ổng chạy xe ôm nuôi heo bán chổi đót tới thúi móng rồi kìa ::Đâ t nươ c đang bi Ta u cô ng đe do a la m nô lê ma bo n quâ n que cư kinh doamh ma i thi đâ t nươ c Viê t Nam se đi vê đâu ::Con nuoi tuong Le Thuy
